classification_id,user_name,user_id,user_ip,workflow_id,workflow_name,workflow_version,created_at,gold_standard,expert,metadata,annotations,subject_data,subject_ids
418833574,esterfiorillo,2149189,a563e82294c9ebfc2158,21693,fachadas,13.13,2022-05-31 18:06:43 UTC,,,"{""source"":""api"",""session"":""33e931eb272049d66d2881581002ae508a4fb93c0b150f8a836d3dc7bfcfb892"",""viewport"":{""width"":1294,""height"":656},""started_at"":""2022-05-31T18:06:33.790Z"",""user_agent"":""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:100.0) Gecko/20100101 Firefox/100.0"",""utc_offset"":""10800"",""finished_at"":""2022-05-31T18:06:43.229Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":640,""clientHeight"":435,""naturalWidth"":640,""naturalHeight"":435}],""subject_selection_state"":{""retired"":false,""selected_at"":""2022-05-31T18:06:33.649Z"",""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""56112""}","[{""task"":""T0"",""task_label"":""Qual o ICM?"",""value"":""1""}]","{""458022"":{""retired"":null,""link"":""https://www.flickr.com/photos/aigle_dore/8300920648"",""origin"":""Flickr"",""license"":""Creative Commons - share adapt attribute"",""image_name"":""8300920648_d4a21bba59_z.jpg"",""subject_id"":2,""attribution"":""Moyan Brenn""}}",458022
418835796,esterfiorillo,2149189,ca2fdc603fd2964a2db0,21693,fachadas,13.13,2022-05-31 18:15:18 UTC,,,"{""source"":""api"",""session"":""33e931eb272049d66d2881581002ae508a4fb93c0b150f8a836d3dc7bfcfb892"",""viewport"":{""width"":1294,""height"":656},""started_at"":""2022-05-31T18:06:45.494Z"",""user_agent"":""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:100.0) Gecko/20100101 Firefox/100.0"",""utc_offset"":""10800"",""finished_at"":""2022-05-31T18:15:16.867Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":640,""clientHeight"":480,""naturalWidth"":640,""naturalHeight"":480}],""subject_selection_state"":{""retired"":false,""selected_at"":""2022-05-31T18:06:33.649Z"",""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""56112""}","[{""task"":""T0"",""task_label"":""Qual o ICM?"",""value"":""3""}]","{""458047"":{""retired"":null,""link"":""https://www.flickr.com/photos/11939863@N08/3426033125"",""origin"":""Flickr"",""license"":""Creative Commons - share adapt attribute"",""image_name"":""3426033125_455e921468_z.jpg"",""subject_id"":27,""attribution"":""Dubravko Soric""}}",458047
418838454,esterfiorillo,2149189,e0a9ce2a50c8ccc8cd02,21693,fachadas,13.13,2022-05-31 18:25:33 UTC,,,"{""source"":""api"",""session"":""33e931eb272049d66d2881581002ae508a4fb93c0b150f8a836d3dc7bfcfb892"",""viewport"":{""width"":1294,""height"":656},""started_at"":""2022-05-31T18:15:17.975Z"",""user_agent"":""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:100.0) Gecko/20100101 Firefox/100.0"",""utc_offset"":""10800"",""finished_at"":""2022-05-31T18:25:33.571Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":640,""clientHeight"":427,""naturalWidth"":640,""naturalHeight"":427}],""subject_selection_state"":{""retired"":false,""selected_at"":""2022-05-31T18:06:33.649Z"",""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""56112""}","[{""task"":""T0"",""task_label"":""Qual o ICM?"",""value"":""1""}]","{""458048"":{""retired"":null,""link"":""https://www.flickr.com/photos/htakashi/5408115862"",""origin"":""Flickr"",""license"":""Creative Commons - share adapt attribute"",""image_name"":""5408115862_b80d8a0608_z.jpg"",""subject_id"":28,""attribution"":""Takashi Hososhima""}}",458048
418839332,esterfiorillo,2149189,a563e82294c9ebfc2158,21693,fachadas,13.13,2022-05-31 18:29:10 UTC,,,"{""source"":""api"",""session"":""1f5fb47f51d6b9887f7d51ecfec6c3d885f304ba2eebe9eaf4ed37da688998f0"",""viewport"":{""width"":1294,""height"":656},""started_at"":""2022-05-31T18:28:49.641Z"",""user_agent"":""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:100.0) Gecko/20100101 Firefox/100.0"",""utc_offset"":""10800"",""finished_at"":""2022-05-31T18:29:10.538Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":443,""clientHeight"":590,""naturalWidth"":768,""naturalHeight"":1024}],""subject_selection_state"":{""retired"":false,""selected_at"":""2022-05-31T18:28:49.443Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""56112""}","[{""task"":""T0"",""task_label"":""Qual o ICM?"",""value"":""4""}]","{""76772762"":{""retired"":null,""Filename"":""01_10_2021__3F0C.tmp.jpg""}}",76772762
418839499,esterfiorillo,2149189,a563e82294c9ebfc2158,21693,fachadas,13.13,2022-05-31 18:30:00 UTC,,,"{""source"":""api"",""session"":""1f5fb47f51d6b9887f7d51ecfec6c3d885f304ba2eebe9eaf4ed37da688998f0"",""viewport"":{""width"":1294,""height"":656},""started_at"":""2022-05-31T18:29:12.194Z"",""user_agent"":""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:100.0) Gecko/20100101 Firefox/100.0"",""utc_offset"":""10800"",""finished_at"":""2022-05-31T18:30:00.835Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":443,""clientHeight"":590,""naturalWidth"":768,""naturalHeight"":1024}],""subject_selection_state"":{""retired"":false,""selected_at"":""2022-05-31T18:28:49.443Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""56112""}","[{""task"":""T0"",""task_label"":""Qual o ICM?"",""value"":""4""}]","{""76772764"":{""retired"":null,""Filename"":""01_10_2021__3F7E.tmp.jpg""}}",76772764
418839524,esterfiorillo,2149189,a563e82294c9ebfc2158,21693,fachadas,13.13,2022-05-31 18:30:05 UTC,,,"{""source"":""api"",""session"":""1f5fb47f51d6b9887f7d51ecfec6c3d885f304ba2eebe9eaf4ed37da688998f0"",""viewport"":{""width"":1294,""height"":656},""started_at"":""2022-05-31T18:30:02.389Z"",""user_agent"":""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:100.0) Gecko/20100101 Firefox/100.0"",""utc_offset"":""10800"",""finished_at"":""2022-05-31T18:30:05.064Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":443,""clientHeight"":590,""naturalWidth"":768,""naturalHeight"":1024}],""subject_selection_state"":{""retired"":false,""selected_at"":""2022-05-31T18:28:49.443Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""56112""}","[{""task"":""T0"",""task_label"":""Qual o ICM?"",""value"":""3""}]","{""76772760"":{""retired"":null,""Filename"":""01_10_2021__3E6C.tmp.jpg""}}",76772760
418839547,esterfiorillo,2149189,a563e82294c9ebfc2158,21693,fachadas,13.13,2022-05-31 18:30:08 UTC,,,"{""source"":""api"",""session"":""1f5fb47f51d6b9887f7d51ecfec6c3d885f304ba2eebe9eaf4ed37da688998f0"",""viewport"":{""width"":1294,""height"":656},""started_at"":""2022-05-31T18:30:06.074Z"",""user_agent"":""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:100.0) Gecko/20100101 Firefox/100.0"",""utc_offset"":""10800"",""finished_at"":""2022-05-31T18:30:08.618Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":443,""clientHeight"":590,""naturalWidth"":768,""naturalHeight"":1024}],""subject_selection_state"":{""retired"":false,""selected_at"":""2022-05-31T18:28:49.443Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""56112""}","[{""task"":""T0"",""task_label"":""Qual o ICM?"",""value"":""1""}]","{""76772759"":{""retired"":null,""Filename"":""01_10_2021__9E95.tmp.jpg""}}",76772759
418839675,esterfiorillo,2149189,a563e82294c9ebfc2158,21693,fachadas,13.13,2022-05-31 18:30:40 UTC,,,"{""source"":""api"",""session"":""d5e4641ac0b7c7f476b6078f7ea28f8ade131facca9f77a9b9f3dc6ad5b02c68"",""viewport"":{""width"":1294,""height"":656},""started_at"":""2022-05-31T18:30:36.803Z"",""user_agent"":""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:100.0) Gecko/20100101 Firefox/100.0"",""utc_offset"":""10800"",""finished_at"":""2022-05-31T18:30:40.700Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":443,""clientHeight"":590,""naturalWidth"":768,""naturalHeight"":1024}],""subject_selection_state"":{""retired"":false,""selected_at"":""2022-05-31T18:30:36.684Z"",""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""56112""}","[{""task"":""T0"",""task_label"":""Qual o ICM?"",""value"":""2""}]","{""76772765"":{""retired"":null,""Filename"":""01_10_2021__3F8F.tmp.jpg""}}",76772765
418839688,esterfiorillo,2149189,a563e82294c9ebfc2158,21693,fachadas,13.13,2022-05-31 18:30:44 UTC,,,"{""source"":""api"",""session"":""d5e4641ac0b7c7f476b6078f7ea28f8ade131facca9f77a9b9f3dc6ad5b02c68"",""viewport"":{""width"":1294,""height"":656},""started_at"":""2022-05-31T18:30:41.676Z"",""user_agent"":""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:100.0) Gecko/20100101 Firefox/100.0"",""utc_offset"":""10800"",""finished_at"":""2022-05-31T18:30:44.095Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":443,""clientHeight"":590,""naturalWidth"":768,""naturalHeight"":1024}],""subject_selection_state"":{""retired"":false,""selected_at"":""2022-05-31T18:30:36.684Z"",""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""56112""}","[{""task"":""T0"",""task_label"":""Qual o ICM?"",""value"":""4""}]","{""76772766"":{""retired"":null,""Filename"":""01_10_2021__9D2C.tmp.jpg""}}",76772766
418839704,esterfiorillo,2149189,a563e82294c9ebfc2158,21693,fachadas,13.13,2022-05-31 18:30:49 UTC,,,"{""source"":""api"",""session"":""d5e4641ac0b7c7f476b6078f7ea28f8ade131facca9f77a9b9f3dc6ad5b02c68"",""viewport"":{""width"":1294,""height"":656},""started_at"":""2022-05-31T18:30:45.479Z"",""user_agent"":""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:100.0) Gecko/20100101 Firefox/100.0"",""utc_offset"":""10800"",""finished_at"":""2022-05-31T18:30:49.836Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":443,""clientHeight"":590,""naturalWidth"":768,""naturalHeight"":1024}],""subject_selection_state"":{""retired"":false,""selected_at"":""2022-05-31T18:30:45.349Z"",""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""56112""}","[{""task"":""T0"",""task_label"":""Qual o ICM?"",""value"":""1""}]","{""76772761"":{""retired"":null,""Filename"":""01_10_2021__3EFC.tmp.jpg""}}",76772761
